Month,Uncategorized,Routine: Patch management / Windows Update / missing patches,Routine: CrowdStrike / EDR agent version updates,Routine: MyRMM / ManageEngine / N-able / RMM agent version updates,Project: NewStar ERP upgrade / updates / support,Routine: Weekly Maintenance Window,Routine: Antivirus / Malware scan,Routine: ScreenConnect / MyRemote agent updates,Project: RMM / tooling install on new machines,Routine: Individual user / PC / laptop issue (named),Routine: Network / Internet / ISP / Wi-Fi issue,Project: Server / VM / ESXi / VMware upgrade or rebuild,Routine: Generic help / troubleshoot / support,Routine: Server/DC issue (generic),Routine: Monitoring alert — CPU / memory / disk utilization,Routine: Email / Outlook / spam / phishing,Project: Windows 11 / PC refresh / laptop deploy,Project: OneDrive / SharePoint data migration,Routine: Backup job / Veeam alert / failure,Routine: Monitoring alert — device down / not responding / agent offline,Routine: File access / Shared drive / OneDrive sync / Permissions,Routine: Printer / Scanner / Peripheral,"Routine: Hardware troubleshoot (slow, freeze, bsod, boot)",Project: Backup / Veeam / Replication setup or rebuild,Routine: Onboarding / Offboarding user,Routine: Monitoring alert — generic critical / MonitorField,Routine: Admin / Approvals / Signatures / Meetings,Project: Firewall / VPN / Network buildout,Routine: VPN troubleshoot,Routine: User login / password / account lockout,Project: File server / data migration,Project: Security / EDR / CrowdStrike / Umbrella / SSL / MFA rollout,Routine: Web / app 404 / site down,Routine: Phone / Voice / Teams / Conferencing,Routine: Weekly firewall / config backup,TOTAL
2024-03,24.64,10.51,14.52,6.34,20.5,19.07,11.96,1.28,0.0,1.63,2.27,0.0,1.11,0.0,0.0,6.93,0.0,0.0,1.32,0.25,0.87,0.57,0.68,0.0,3.0,0.0,0.58,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,128.5
2024-04,24.19,11.86,14.3,4.3,3.83,18.39,11.25,5.4,2.87,1.26,5.94,0.0,2.83,1.08,0.0,1.66,0.0,0.0,2.84,1.18,2.03,3.92,0.65,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98,129.26
2024-05,36.35,13.61,14.75,7.75,15.86,17.52,7.79,3.46,1.55,3.7,8.94,1.08,2.69,3.59,0.0,1.18,1.5,0.0,1.37,0.83,0.33,1.0,5.53,0.25,4.0,0.0,0.55,0.83,0.0,0.0,0.0,0.42,0.0,0.0,0.0,156.43
2024-06,29.98,12.9,4.93,2.63,3.71,7.34,6.33,2.08,3.62,2.75,3.69,0.0,0.5,1.16,0.0,0.43,2.55,0.0,1.38,1.72,2.11,0.77,1.58,0.83,0.0,0.0,0.45,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,94.94
2024-07,22.6,24.59,1.0,2.96,0.25,0.42,0.25,1.08,5.68,1.58,4.34,3.5,1.25,0.0,0.53,1.46,0.0,0.0,1.32,3.46,0.0,0.0,1.87,0.5,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.88,0.0,80.77
2024-08,14.42,38.35,0.25,4.38,18.81,0.0,0.72,1.99,0.35,5.25,7.4,0.73,1.64,0.0,0.99,3.59,0.0,0.0,1.51,10.18,0.93,1.75,3.42,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.96
2024-09,20.53,28.33,1.0,4.05,0.44,0.0,0.0,2.62,2.3,5.0,0.0,3.72,1.69,0.0,14.5,0.82,0.0,0.0,3.19,8.45,0.0,0.0,1.4,0.0,0.0,0.0,0.62,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33
2024-10,20.57,21.56,3.87,5.49,1.17,0.0,1.65,3.75,2.56,0.32,0.88,3.87,0.0,0.0,12.86,0.28,0.0,0.0,1.02,5.3,0.0,0.0,0.0,0.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4
2024-11,19.35,23.34,7.07,3.34,0.0,0.0,0.0,2.11,3.14,3.0,3.59,2.7,0.7,0.67,8.65,0.54,0.0,0.0,0.66,1.94,0.0,6.0,0.0,0.85,0.0,0.18,0.0,0.0,0.0,1.04,0.0,8.19,2.0,1.67,0.0,100.73
2024-12,37.6,29.85,9.49,6.51,1.03,0.0,3.9,0.43,27.25,12.75,0.8,3.25,1.63,0.25,5.26,3.05,0.0,0.0,0.75,1.01,0.0,2.66,0.47,2.3,0.0,2.88,0.0,0.5,0.5,0.37,0.0,0.0,0.0,0.0,0.0,154.49
2025-01,32.67,37.32,1.72,4.57,3.73,0.0,1.23,1.08,5.24,0.5,0.67,1.5,11.62,3.54,4.62,0.0,0.0,0.5,0.92,2.5,0.0,1.5,0.0,0.0,0.0,5.27,8.2,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.73
2025-02,23.74,60.3,0.33,0.92,3.22,0.0,1.55,3.67,1.34,0.0,0.0,0.75,0.78,0.73,4.64,0.75,0.0,0.0,1.99,0.58,0.0,0.0,0.0,2.05,0.4,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.68
2025-03,35.14,52.52,0.25,0.8,5.0,0.0,1.17,2.62,11.3,0.38,1.52,0.75,2.02,1.88,0.22,2.76,1.83,0.0,1.34,0.0,0.0,0.95,1.93,2.0,0.53,2.55,0.0,0.0,0.0,0.67,0.0,0.43,0.0,0.0,0.0,130.56
2025-04,35.11,40.93,0.0,5.4,8.16,0.0,0.0,1.35,4.92,5.0,0.33,0.0,0.68,0.5,0.0,3.62,0.0,0.0,1.03,0.32,0.0,3.03,2.0,2.25,0.0,2.83,0.0,0.0,0.0,0.6,0.0,0.0,0.0,4.25,0.0,122.31
2025-05,29.68,39.37,1.5,8.55,0.83,0.0,0.0,4.29,2.94,0.25,0.4,0.75,0.96,0.0,0.25,2.15,0.0,0.0,2.1,0.37,3.41,0.53,0.69,0.97,0.0,0.48,1.63,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,104.35
2025-06,32.83,45.83,2.58,7.67,6.4,0.0,0.0,10.78,3.17,3.78,1.48,2.35,0.9,0.0,0.28,1.83,0.0,0.0,2.62,0.0,6.05,0.0,3.31,1.02,0.0,0.83,0.0,0.0,0.0,1.58,0.0,0.3,0.0,0.0,0.0,135.59
2025-07,33.71,49.75,7.68,8.94,1.04,0.0,0.0,4.48,3.7,3.25,0.98,3.0,3.72,1.58,1.1,7.03,0.5,0.0,1.18,0.73,0.0,0.88,0.32,2.83,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,136.7
2025-08,38.21,23.96,18.61,21.08,0.5,0.0,0.0,0.0,4.41,0.0,2.1,0.0,1.0,4.65,1.98,2.44,0.0,0.0,3.6,1.56,0.0,0.0,4.13,0.83,0.0,0.0,0.0,6.25,1.75,2.38,0.0,0.0,0.0,0.3,0.0,139.74
2025-09,48.59,7.0,16.94,16.04,10.75,0.0,0.0,11.81,1.98,3.5,7.76,1.5,2.03,0.0,2.06,0.5,7.19,1.5,1.16,1.55,0.0,2.39,0.0,0.0,0.43,0.75,0.0,5.25,5.67,1.75,0.0,0.0,0.0,0.33,0.0,158.43
2025-10,10.9,4.23,2.21,1.66,1.83,0.0,0.0,1.54,0.0,10.99,0.0,0.0,1.21,0.0,0.0,0.0,6.25,0.0,0.66,0.0,1.38,0.57,0.0,0.83,0.0,0.0,0.83,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.34
2025-11,9.6,18.81,15.72,12.38,0.47,0.0,0.0,2.92,0.0,0.98,2.71,0.0,3.71,0.58,0.0,0.0,0.0,0.0,2.9,0.37,0.47,0.48,0.88,0.98,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,76.54
2025-12,19.36,19.39,16.63,9.18,1.15,0.0,0.0,9.36,0.0,0.0,2.1,5.66,4.55,0.93,1.75,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.11
2026-01,37.92,23.79,13.81,11.53,9.11,0.0,0.0,2.68,0.0,5.14,2.85,13.16,0.37,30.75,0.5,3.08,0.0,0.0,3.6,1.08,1.05,0.0,1.33,2.17,0.3,1.05,0.58,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,168.08
2026-02,40.93,17.38,9.41,8.5,3.0,0.0,0.0,5.42,0.0,6.7,1.35,6.08,1.13,0.0,4.5,0.5,0.97,0.0,1.32,0.0,4.99,0.5,2.25,0.0,0.0,1.42,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.83
2026-03,22.63,37.7,23.77,0.0,2.78,0.0,0.0,9.75,4.7,5.0,5.44,9.5,3.86,0.0,2.33,1.75,0.0,4.12,4.12,0.0,1.0,1.25,0.0,1.25,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.87
2026-04,20.5,17.0,13.56,7.63,8.03,0.0,0.0,2.99,0.5,2.75,2.88,6.33,2.4,2.5,0.73,1.0,0.0,0.0,3.74,0.0,0.0,2.42,0.0,0.92,0.0,0.25,0.0,0.0,0.5,0.4,0.0,0.0,4.9,0.0,0.0,101.93
