InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
8689,22909,2017-04-01,2017-03-01,4783.7300,4783.7300,Monthly,Paid,,Golden Rain Foundation - LWSB : Monthly Invoice For My Virtual Tech - Pro
8667,22846,2017-03-24,2017-02-24,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8616,22785,2017-03-17,2017-02-17,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8568,22718,2017-03-10,2017-02-10,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8517,22668,2017-03-03,2017-02-03,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8145,22564,2017-03-01,2017-02-01,9054.4500,9054.4500,Monthly,Paid,,Golden Rain Foundation - LWSB : Monthly Invoice For My Virtual Tech - Pro
8419,22512,2017-02-27,2017-01-27,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8370,22446,2017-02-20,2017-01-20,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8271,22343,2017-02-13,2017-01-13,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8115,22218,2017-02-06,2017-01-06,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
7758,22183,2017-02-01,2017-01-01,9054.4500,9054.4500,Monthly,Paid,,Golden Rain Foundation - LWSB : Monthly Invoice For My Virtual Tech - Pro
7716,22072,2017-01-30,2016-12-30,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
7678,22038,2017-01-23,2016-12-23,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
7630,21996,2017-01-16,2016-12-16,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
7568,21929,2017-01-09,2016-12-09,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
7134,21752,2017-01-02,2016-12-02,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
7160,21780,2017-01-01,2016-12-01,9054.4500,9054.4500,Monthly,Paid,,GRF : Monthly Invoice For My Virtual Tech - Pro
6806,21622,2016-12-25,2016-11-25,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6758,21573,2016-12-18,2016-11-18,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6633,21421,2016-12-11,2016-11-11,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6588,21344,2016-12-04,2016-11-04,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6470,21234,2016-11-27,2016-10-28,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6423,21176,2016-11-20,2016-10-21,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6199,21119,2016-11-13,2016-10-14,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6097,21030,2016-11-06,2016-10-07,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6052,20935,2016-10-30,2016-09-30,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
6010,20820,2016-10-23,2016-09-23,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5957,20774,2016-10-16,2016-09-16,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5911,20668,2016-10-09,2016-09-09,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5869,20605,2016-10-02,2016-09-02,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5823,20509,2016-09-25,2016-08-26,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5775,20433,2016-09-18,2016-08-19,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5720,20374,2016-09-11,2016-08-12,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5675,20295,2016-09-04,2016-08-05,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
5414,20204,2016-08-28,2016-07-29,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
4955,20112,2016-08-21,2016-07-22,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
