InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
32464,1477,2022-07-03,2022-06-03,6152.7500,6152.7500,Invoice,Paid,,Logitech Rally bar
31351,1307,2022-06-20,2022-05-20,13856.0900,13856.0900,Invoice,Paid,2022-06-17,5521 /  P2422H /  WD19TBS /  MK270
31107,1072,2022-05-18,2022-04-18,1093.5000,1093.5000,Invoice,Paid,2022-06-17,10% late fee for invoice #519
31090,1058,2022-05-15,2022-04-15,75.0000,75.0000,Weekly,Paid,2022-06-17,Weekly Invoice
31049,1025,2022-05-12,2022-04-12,600.0000,600.0000,Invoice,Paid,2022-06-17,Installer for AP and TV
31040,1019,2022-05-08,2022-04-08,1324.5000,1324.5000,Weekly,Paid,2022-06-17,Weekly Invoice
31000,984,2022-05-08,2022-04-08,1293.0000,1293.0000,Invoice,Paid,2022-06-17,Patch Cables
30997,973,2022-05-07,2022-04-07,808.1300,808.1300,Invoice,Paid,2022-06-17,WS-C3750G-48PS
30863,979,2022-04-30,2022-03-30,1331.9400,1331.9400,Invoice,Paid,2022-06-17,5521 docking station + 2 monitors + Key&Mouse
30751,784,2022-04-13,2022-03-14,200.0000,200.0000,Invoice,Paid,2022-03-15,AT&T Invoice
30734,774,2022-04-10,2022-03-11,337.5000,337.5000,Weekly,Paid,2022-06-17,Weekly Invoice
30556,629,2022-03-27,2022-02-25,1740.0000,1740.0000,Weekly,Paid,2022-04-01,Weekly Invoice
30435,519,2022-03-11,2022-02-11,10932.9500,10932.9500,Invoice,Paid,2022-05-27,Dell 5521
29898,43860,2022-01-14,2021-12-15,7500.0000,7500.0000,Invoice,Paid,2022-01-14,Block of 50 US Hours
29846,43811,2022-01-02,2021-12-03,199.5000,199.5000,Weekly,Paid,,Weekly Invoice
29707,43700,2021-12-26,2021-11-26,325.5000,325.5000,Weekly,Paid,2022-06-17,Weekly Invoice
29582,43630,2021-12-18,2021-11-18,11086.7700,11086.7700,Invoice,Paid,2021-12-21,Dell 5520
29581,43629,2021-12-18,2021-11-18,18342.2400,18342.2400,Invoice,Paid,,New office estimate
29575,43570,2021-12-05,2021-11-05,49.5000,49.5000,Weekly,Paid,,Weekly Invoice
29362,43717,2021-11-21,2021-10-22,475.5000,475.5000,Weekly,Paid,,Weekly Invoice
29311,43675,2021-11-14,2021-10-15,199.5000,199.5000,Weekly,Paid,,Weekly Invoice
28980,43456,2021-10-24,2021-09-24,11086.7700,11086.7700,Invoice,Paid,2022-06-17,5 laptops
27914,42390,2021-06-27,2021-05-28,412.5000,412.5000,Weekly,Paid,2021-08-02,Weekly Invoice
27631,42114,2021-05-28,2021-04-28,70.0400,70.0400,Invoice,Paid,2021-06-02,PoE Injector for Fortinet AP
27591,42066,2021-05-16,2021-04-16,562.5000,562.5000,Weekly,Paid,2021-06-02,Weekly Invoice
