Auth check ...
  Ravi Jain (rjain@technijian.com)
  [technijian_inc/03_technijian_lv] 2026-04-13: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-14: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-15: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-16: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-17: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-18: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-19: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-20: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-21: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-22: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-23: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-24: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-25: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-26: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-27: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-28: 0 events
  [technijian_inc/03_technijian_lv] 2026-04-29: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-01: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-02: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-03: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-04: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-05: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-06: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-07: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-08: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-09: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-10: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-11: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-12: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-13: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-14: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-15: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-16: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-17: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-18: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-19: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-20: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-21: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-22: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-23: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-24: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-25: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-26: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-27: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-28: 0 events
  [technijian_inc/05_technijian_lab] 2026-01-29: 62 events
  [technijian_inc/05_technijian_lab] 2026-01-30: 340 events
  [technijian_inc/05_technijian_lab] 2026-01-31: 322 events
  [technijian_inc/05_technijian_lab] 2026-02-01: 318 events
  [technijian_inc/05_technijian_lab] 2026-02-02: 320 events
  [technijian_inc/05_technijian_lab] 2026-02-03: 292 events
  [technijian_inc/05_technijian_lab] 2026-02-04: 216 events
  [technijian_inc/05_technijian_lab] 2026-02-05: 194 events
  [technijian_inc/05_technijian_lab] 2026-02-06: 192 events
  [technijian_inc/05_technijian_lab] 2026-02-07: 192 events
  [technijian_inc/05_technijian_lab] 2026-02-08: 192 events
  [technijian_inc/05_technijian_lab] 2026-02-09: 192 events
  [technijian_inc/05_technijian_lab] 2026-02-10: 196 events
  [technijian_inc/05_technijian_lab] 2026-02-11: 223 events
  [technijian_inc/05_technijian_lab] 2026-02-12: 127 events
  [technijian_inc/05_technijian_lab] 2026-02-13: 161 events
  [technijian_inc/05_technijian_lab] 2026-02-14: 244 events
  [technijian_inc/05_technijian_lab] 2026-02-15: 239 events
  [technijian_inc/05_technijian_lab] 2026-02-16: 245 events
  [technijian_inc/05_technijian_lab] 2026-02-17: 198 events
  [technijian_inc/05_technijian_lab] 2026-02-18: 103 events
  [technijian_inc/05_technijian_lab] 2026-02-19: 170 events
  [technijian_inc/05_technijian_lab] 2026-02-20: 13 events
  [technijian_inc/05_technijian_lab] 2026-02-21: 114 events
  [technijian_inc/05_technijian_lab] 2026-02-22: 77 events
  [technijian_inc/05_technijian_lab] 2026-02-23: 133 events
  [technijian_inc/05_technijian_lab] 2026-02-24: 192 events
  [technijian_inc/05_technijian_lab] 2026-02-25: 210 events
  [technijian_inc/05_technijian_lab] 2026-02-26: 331 events
  [technijian_inc/05_technijian_lab] 2026-02-27: 358 events
  [technijian_inc/05_technijian_lab] 2026-02-28: 364 events
  [technijian_inc/05_technijian_lab] 2026-03-01: 349 events
  [technijian_inc/05_technijian_lab] 2026-03-02: 348 events
  [technijian_inc/05_technijian_lab] 2026-03-03: 265 events
  [technijian_inc/05_technijian_lab] 2026-03-04: 220 events
  [technijian_inc/05_technijian_lab] 2026-03-05: 200 events
  [technijian_inc/05_technijian_lab] 2026-03-06: 213 events
  [technijian_inc/05_technijian_lab] 2026-03-07: 194 events
  [technijian_inc/05_technijian_lab] 2026-03-08: 352 events
  [technijian_inc/05_technijian_lab] 2026-03-09: 334 events
  [technijian_inc/05_technijian_lab] 2026-03-10: 288 events
  [technijian_inc/05_technijian_lab] 2026-03-11: 248 events
  [technijian_inc/05_technijian_lab] 2026-03-12: 320 events
  [technijian_inc/05_technijian_lab] 2026-03-13: 184 events
  [technijian_inc/05_technijian_lab] 2026-03-14: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-15: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-16: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-17: 19 events
  [technijian_inc/05_technijian_lab] 2026-03-18: 29 events
  [technijian_inc/05_technijian_lab] 2026-03-19: 112 events
  [technijian_inc/05_technijian_lab] 2026-03-20: 108 events
  [technijian_inc/05_technijian_lab] 2026-03-21: 30 events
  [technijian_inc/05_technijian_lab] 2026-03-22: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-23: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-24: 12 events
  [technijian_inc/05_technijian_lab] 2026-03-25: 136 events
  [technijian_inc/05_technijian_lab] 2026-03-26: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-27: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-28: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-29: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-30: 0 events
  [technijian_inc/05_technijian_lab] 2026-03-31: 1 events
  [technijian_inc/05_technijian_lab] 2026-04-01: 1165 events
  [technijian_inc/05_technijian_lab] 2026-04-02: 107 events
  [technijian_inc/05_technijian_lab] 2026-04-03: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-04: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-05: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-06: 3 events
  [technijian_inc/05_technijian_lab] 2026-04-07: 1138 events
  [technijian_inc/05_technijian_lab] 2026-04-08: 148 events
  [technijian_inc/05_technijian_lab] 2026-04-09: 156 events
  [technijian_inc/05_technijian_lab] 2026-04-10: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-11: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-12: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-13: 148 events
  [technijian_inc/05_technijian_lab] 2026-04-14: 51 events
  [technijian_inc/05_technijian_lab] 2026-04-15: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-16: 168 events
  [technijian_inc/05_technijian_lab] 2026-04-17: 197 events
  [technijian_inc/05_technijian_lab] 2026-04-18: 2 events
  [technijian_inc/05_technijian_lab] 2026-04-19: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-20: 36 events
  [technijian_inc/05_technijian_lab] 2026-04-21: 7 events
  [technijian_inc/05_technijian_lab] 2026-04-22: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-23: 7 events
  [technijian_inc/05_technijian_lab] 2026-04-24: 16 events
  [technijian_inc/05_technijian_lab] 2026-04-25: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-26: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-27: 0 events
  [technijian_inc/05_technijian_lab] 2026-04-28: 34 events
  [technijian_inc/05_technijian_lab] 2026-04-29: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-01: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-02: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-03: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-04: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-05: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-06: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-07: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-08: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-09: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-10: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-11: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-12: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-13: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-14: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-15: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-16: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-17: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-18: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-19: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-20: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-21: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-22: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-23: 0 events
  [technijian_inc/01_technijian_dc] 2026-01-24: 0 events
Traceback (most recent call last):
  File "C:\VSCode\annual-client-review\annual-client-review-1\scripts\meraki\pull_network_events.py", line 150, in <module>
    if __name__ == "__main__":
  File "C:\VSCode\annual-client-review\annual-client-review-1\scripts\meraki\pull_network_events.py", line 132, in main
    out = net_dir / f"{label}.json"
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\pathlib.py", line 1154, in write_text
    with self.open(mode='w', encoding=encoding, errors=errors, newline=newline) as f:
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\pathlib.py", line 1119, in open
    return self._accessor.open(self, mode, buffering, encoding, errors,
FileNotFoundError: [Errno 2] No such file or directory: 'C:\\VSCode\\annual-client-review\\annual-client-review-1\\clients\\_meraki\\technijian_inc\\network_events\\01_technijian_dc\\2026-01-25.json'
urllib\request.py", line 1391, in https_open
    return self.do_open(http.client.HTTPSConnection, req,
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\urllib\request.py", line 1352, in do_open
    r = h.getresponse()
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\http\client.py", line 1375, in getresponse
    response.begin()
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\http\client.py", line 318, in begin
    version, status, reason = self._read_status()
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\http\client.py", line 279, in _read_status
    line = str(self.fp.readline(_MAXLINE + 1), "iso-8859-1")
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\socket.py", line 705, in readinto
    return self._sock.recv_into(b)
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\ssl.py", line 1274, in recv_into
    return self.read(nbytes, buffer)
  File "C:\Users\rjain\AppData\Local\Programs\Python\Python310\lib\ssl.py", line 1130, in read
    return self._sslobj.read(len, buffer)
TimeoutError: The read operation timed out
